NewID,Orig,Pop
0,Alaior,9257
1,Alaró,5327
2,Alcudia,19071
3,Algaida,5050
4,Andratx,11685
5,Ariany,872
6,Arta,7411
7,Banyalbufar,605
8,Binissalem,7251
9,Buger,1060
10,Bunyola,6026
11,Calvia,51774
12,Campanet,2602
13,Campos,9601
14,Capdepera,11911
15,CastellEs,7892
16,CiutadelladeMenorca,29160
17,Consell,3515
18,Costitx,1078
19,Deya,755
20,Eivissa,48684
21,Escorca,280
22,Esporles,4808
23,Estellencs,389
24,Felanitx,18270
25,Ferreries,4669
26,Formentera,9552
27,Fornalutx,758
28,Inca,29308
29,LloretdeVistalegre,1275
30,Lloseta,5704
31,Llubí,2265
32,Llucmajor,36078
33,Manacor,40548
34,MancordelaVall,1199
35,Mao,29125
36,MariadelaSalut,2150
37,Marratxi,33348
38,MercadalEs,5292
39,MigjornGranEs,1523
40,Montuiri,2827
41,Muro,7144
42,Palma,401270
43,Petra,2886
44,PoblaSa,12766
45,Pollença,17260
46,Porreres,5428
47,Puigpunyent,1867
48,SalinesSes,5270
49,SantAntonidePortmany,21852
50,SantJoan,1962
51,SantJoandeLabritja,5541
52,SantJosepdesaTalaia,22171
53,SantLlorencdesCardassar,8687
54,SantLluís,6997
55,SantaEugenia,1663
56,SantaEulaliadelRio,31314
57,SantaMargalida,11537
58,SantaMariadelCami,5992
59,Santanyi,12664
60,Selva,3515
61,Sencelles,3105
62,Sineu,3520
63,Soller,13942
64,SonServera,12215
65,Valldemossa,1995
66,VilafrancadeBonany,2908
