Source,Target,Weight
0,35,1080
0,67,940
1,27,560
1,67,1950
2,22,175
2,35,400
2,67,4690
3,26,145
3,35,775
3,67,880
4,9,800
4,35,730
4,67,1805
5,28,230
5,35,85
5,67,1730
6,22,330
6,31,125
6,35,810
6,67,1135
7,22,40
7,35,45
7,67,195
8,9,100
8,26,70
8,31,45
8,35,1115
8,67,655
9,63,145
9,9,11055
9,26,200
9,35,4545
9,67,520
9,66,255
10,22,90
10,35,175
10,67,470
11,26,180
11,28,105
11,35,720
11,67,2135
12,28,90
12,67,3080
13,13,9120
13,27,500
13,67,410
14,9,45
14,31,70
14,35,705
14,67,490
15,22,25
15,35,75
15,67,235
16,9,85
16,31,70
16,35,1210
16,67,695
17,28,630
17,35,375
17,67,5000
18,13,145
18,27,120
18,67,1465
19,67,3370
20,35,60
20,67,170
21,21,14855
21,41,635
21,43,1750
21,49,1275
21,67,425
22,22,5240
22,28,210
22,31,195
22,35,2075
22,67,1735
23,22,15
23,35,145
23,67,305
24,22,320
24,35,485
24,67,810
25,22,120
25,35,130
25,67,410
26,9,270
26,26,5100
26,31,205
26,35,6625
26,67,520
27,63,315
27,13,80
27,27,7845
27,67,1240
28,28,9295
28,35,885
28,67,1650
29,22,115
29,35,120
29,67,235
30,28,40
30,35,165
30,67,460
31,9,310
31,22,155
31,26,90
31,28,70
31,31,3345
31,35,8920
31,67,450
32,27,150
32,67,1530
33,28,85
33,35,235
33,67,525
34,22,75
34,35,200
34,67,1630
35,63,460
35,9,4775
35,21,85
35,22,1050
35,26,2710
35,64,345
35,28,605
35,31,3910
35,35,127035
35,67,5810
35,66,460
36,28,175
36,35,55
36,67,715
37,35,260
37,67,4455
38,28,125
38,35,395
38,67,1240
39,22,235
39,35,295
39,67,3170
40,35,355
40,67,205
41,21,1665
41,41,3725
41,43,855
41,49,150
42,22,210
42,31,100
42,35,255
42,67,445
43,21,3080
43,41,605
43,43,3880
43,49,330
44,28,120
44,35,180
44,67,375
45,21,355
45,49,245
45,67,945
46,28,435
46,35,70
46,67,2205
47,27,1085
47,67,1430
48,35,235
48,67,285
49,21,3160
49,41,175
49,43,215
49,49,7410
49,67,310
50,35,240
50,67,2490
51,9,40
51,22,95
51,31,90
51,35,865
51,67,840
52,35,155
52,67,3075
53,22,380
53,35,345
53,67,530
54,35,170
54,67,925
55,22,95
55,28,40
55,35,285
55,67,920
56,35,965
56,67,3660
57,28,385
57,35,195
57,67,2555
58,35,300
58,67,435
59,63,60
59,27,1205
59,67,1165
60,28,230
60,35,75
60,67,425
61,28,50
61,35,15
61,67,195
62,13,20
62,27,40
62,67,265
