NewID,Orig
0,07001 Alaró
1,07002 Alaior
2,07003 Alcúdia
3,07004 Algaida
4,07005 Andratx
5,07006 Artà
6,07008 Binissalem
7,07009 Búger
8,07010 Bunyola
9,07011 Calvià
10,07012 Campanet
11,07013 Campos
12,07014 Capdepera
13,07015 Ciutadella de Menorca
14,07016 Consell
15,07017 Costitx
16,07020 Esporles
17,07022 Felanitx
18,07023 Ferreries
19,07024 Formentera
20,07025 Fornalutx
21,07026 Eivissa
22,07027 Inca
23,07028 Lloret de Vistalegre
24,07029 Lloseta
25,07030 Llubí
26,07031 Llucmajor
27,07032 Maó
28,07033 Manacor
29,07034 Mancor de la Vall
30,07035 Maria de la Salut
31,07036 Marratxí
32,"07037 Mercadal, Es"
33,07038 Montuïri
34,07039 Muro
35,07040 Palma de Mallorca
36,07041 Petra
37,07042 Pollença
38,07043 Porreres
39,"07044 Pobla, Sa"
40,07045 Puigpunyent
41,07046 Sant Antoni de Portmany
42,07047 Sencelles
43,07048 Sant Josep de sa Talaia
44,07049 Sant Joan
45,07050 Sant Joan de Labritja
46,07051 Sant Llorenç des Cardassar
47,07052 Sant Lluís
48,07053 Santa Eugènia
49,07054 Santa Eulalia del Río
50,07055 Santa Margalida
51,07056 Santa María del Camí
52,07057 Santanyí
53,07058 Selva
54,"07059 Salines, Ses"
55,07060 Sineu
56,07061 Sóller
57,07062 Son Servera
58,07063 Valldemossa
59,"07064 Castell, Es"
60,07065 Vilafranca de Bonany
61,07901 Ariany
62,"07902 Migjorn Gran, Es"
63,08019 Barcelona
64,28079 Madrid
65,46250 Valencia
66,Extranjero
67,"Resto Municipios (Balears, Illes)"
68,Resto Municipios (Teruel)
